clean_name,Main Headquaters,Campaign,Description,Involvement,Sub-Category,Big-Category
Molitan Industries,"Israel, Occupied Palestinian Territory",whoprofits.org,"A private Israeli manufacturer of sewing thread.

The company operates a factory in Barkan I.Z, a settlement industrial zone in ",Settlement Production,Industrial Manufacturing,Manufacturing & Industrial
Mondaym,Israel (Global),boycott-israel.org,"Monday.com, a Tel Aviv-based tech firm, specializes in customizable work management software. As one of Israel's most valuable startups, it's known for Work OS platform, catering to a global customer base in various industries.",Customizable work management software,Online Services and Platforms,Technology & Hi-tech
Moon Active,Israel (Global),boycott-israel.org,"Moon Active is an Israeli mobile game developer known for its popular game Coin Master. Based in Tel Aviv and founded in 2011, the company specializes in creating addictive, casual games that appeal to a broad audience. Moon Active is a prominent player in Israel's tech scene, continually updating its games to keep users engaged.",Israeli mobile game developer,App & Game Studios,Technology & Hi-tech
Mor Hasharon Fruit (Sharon Fruit),"Israel, South Africa",whoprofits.org,"A marketer and exporter of agricultural produce.

In 2012, Who Profits documented the presence of the company boxes in a packagi","Palestinian Captive Market, Services to the Settlements, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Mordechai Aviv Nstruction Industries,Israel,whoprofits.org,"A development and construction company.

The company constructs several housing projects in settlements in the West Bank, includ","Israeli Construction on Occupied Land, Settlement Production",Construction,Manufacturing & Industrial
Mordechai Aviv Taasiot Beniyah 1973,Israel,UN_Report,Construction and building materials,Use of natural resources,Construction,Manufacturing & Industrial
Motorola Solutions,"USA, Israel, USA, United States","afsc.org-Divestment, DBIO_Listed_Business, whoprofits.org, UN_Report","An American data communications and telecommunications equipment provider, Israeli telecommunications company, Motorola Solutions, Inc., is an American provider of communication products, video equipment, telecommunications equipment, softwa, Telecommunications","Telecommunications, Shareholdings, Population Control, Private Security and Surveillance Technology, Services to the Settlements, Settlement Enterprise, Specialized Equipment and Services, The Wall and Checkpoints, Supply of surveillance and identification equipment for settlements, the wall and checkpoints directly linked with settlements","Telecommunications, Telecommunications, Communication, Military, Security and Surveillance, Telecommunications","Technology & Hi-tech, Technology & Hi-tech"
Motorola Solutions Israel,Israel,UN_Report,Telecommunications and surveillance equipment,"Supply of surveillance and identification equipment for settlements, the wall and checkpoints directly linked with settlements",Telecommunications,Technology & Hi-tech
Mprest Systems,Israel,whoprofits.org,"A private Israel-based global provider of monitoring and control solutions for the defense, security, utility and Industrial Inter",Specialized Equipment and Services,"Military, Security and Surveillance",Defense & Security
Ms Tech,Israel,afsc.org-Divestment,An Israeli technology company specializing in advanced sensor technologies,Technology,Technology,Technology & Hi-tech
Municipal Bank,Israel,UN_Report,Banking services,"Banking and financial operations helping to develop, expand or maintain settlements and their activities",Banking,Finance & Insurance
Mylan Nv,Netherlands,afsc.org-Divestment,A global pharmaceutical company involved in the production of generic and specialty medicines,Pharmaceuticals,Pharmaceuticals,Other
N Jan,Israel,whoprofits.org,A private Israeli company which provides logistical solutions and systems for the operation of borders. The company operates 15 si,"Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
N O A Management And Nsulting,Occupied Palestinian Territory,whoprofits.org,"A private construction company.

The company is located in the settlement neighborhood of Ramot in occupied East Jerusalem. The ",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Naaman Group,Israel,UN_Report,Manufacturing,Services and utilities supporting the maintenance and existence of settlements; Use of natural resources,Manufacturing,Manufacturing & Industrial
Naandan Jain Irrigation,Israel,whoprofits.org,"An Israel-based global provider of irrigation solutions.

The company planned and carried out irrigation projects in the occupie",Services to the Settlements,Agriculture and Agrotechnology,Agriculture & Food
Naska Industries - Sk Group,Israel,whoprofits.org,"The SK Group is a privately held technology and innovation holding company, specializing in global para-military solutions, marine",Specialized Equipment and Services,"Military, Security and Surveillance",Defense & Security
Natoon Group,Israel,UN_Report,Security services,"Services and utilities supporting the maintenance and existence of settlements; Security services, equipment and materials to enterprises operating in settlements",Security,Other
Natuzzi Spa,Italy,whoprofits.org,"The company is the largest furniture manufacturer, with the biggest global reach in the sector. The company owns seven manufacturi","Israeli Construction on Occupied Land, Services to the Settlements",Industrial Manufacturing,Manufacturing & Industrial
Natwest,United Kingdom,DBIO_creditor_report,British retail and commercial bank,Loans and underwriting services,Financial Services,Finance & Insurance
Neetuv Management And Development,Occupied Palestinian Territory,whoprofits.org,"The company is based in Barkan Settlement IZ and is a certified supplier to the Israeli police and the military.

The company wa","Exploitation of Labor, Settlement Production",Construction,Manufacturing & Industrial
Nesher Israel Cement Enterprises,Israel,whoprofits.org,"A private Israeli manufacturer and supplier of cement and clinker products for the construction&nbsp;industry.

Until September ","Israeli Construction on Occupied Land, Palestinian Captive Market, The Wall and Checkpoints",Industrial Manufacturing,Manufacturing & Industrial
Ness At,Israel,whoprofits.org,"A private Israeli information systems and technology services company.

According to its website, the company provides homeland ","Specialized Equipment and Services, The Wall and Checkpoints",Hi-tech,Technology & Hi-tech
Nestl√©,Switzerland,boycott-israel.org,"NestlÈ, a Swiss multinational, has a presence in Israel through its investment in Osem, a major Israeli food producer. This investment connects NestlÈ to various local industries and markets, broadening its involvement in the region.",Investment in Osem,Food and Beverages,Agriculture & Food
Nestl√© Sa,Switzerland,ethicalconsumer.org,A multinational food and drink processing conglomerate corporation.,Boycott calls for irresponsible marketing of baby milk formula and extraction of scarce water sources.,Soft Drinks,Agriculture & Food
Nestl√© Sub-Brand,Switzerland,boycott-israel.org,"These are sub-brands under NestlÈ, a Swiss multinational food and drink processing conglomerate corporation.",Perrier-NescafÈ-Nespresso-NIDO-Gerber-Cerelac-Kit Kat-Crunch-Smarties-H‰agenDazs-Purina-Boost-Stouffer's-Lean Cuisine-Milo-Nestea-PowerBar,Food and Beverages,Agriculture & Food
Netafim,Israel,whoprofits.org,"An Israeli global provider of irrigation technologies.

In 2004, Netafim accompanied and contributed the equipment for an experi",Services to the Settlements,Agriculture and Agrotechnology,Agriculture & Food
Neuman Steel Industries For Nstruction,Israel,whoprofits.org,Neuman manufactures and markets steel products for the construction industry. The company is building a new factory in the Ariel W,"Israeli Construction on Occupied Land, Settlement Production","Construction, Heavy Machinery",Manufacturing & Industrial
New Way Traffic,Israel,whoprofits.org,"Private Israeli company, New Way Traffic installs traffic safety equipment.

The company provides services to settlements in the","Israeli Construction on Occupied Land, The Wall and Checkpoints","Construction, Military, Security and Surveillance",Manufacturing & Industrial
Nextm Group,Israel,whoprofits.org,"A publicly traded Israeli company specializing in communication infrastructure, renewable energy, security and civil engineering.
","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Services to the Settlements, Specialized Equipment and Services","Electricity, Gas and Water Supply, Military, Security and Surveillance, Renewable Energy",Energy & Utilities
